unit	coeff
barrer	7.50062e-14
barrer(STP)	7.50062e-14
barrer STP	7.50062e-14
barrer (STP)	7.50062e-14
barrer@STP	7.50062e-14
barrer @STP	7.50062e-14
barrergas(STP)⋅	7.50062e-14
barrerm	7.500620000000001e-12
barrer m	7.500620000000001e-12
barrer·m	7.500620000000001e-12
barrer(STP)m	7.500620000000001e-12
barrer STPm	7.500620000000001e-12
barrer (STP) m	7.500620000000001e-12
barrer@STPm	7.500620000000001e-12
barrer @STPm	7.500620000000001e-12
barrer @STP m	7.500620000000001e-12
barrergas(STP)⋅m	7.500620000000001e-12
barrercm	7.50062e-14
barrer cm	7.50062e-14
barrer·cm	7.50062e-14
barrer(STP)cm	7.50062e-14
barrer STPcm	7.50062e-14
barrer (STP) cm	7.50062e-14
barrer@STPcm	7.50062e-14
barrer @STPcm	7.50062e-14
barrer @STP cm	7.50062e-14
barrergas(STP)⋅cm	7.50062e-14
barrermm	7.50062e-15
barrer mm	7.50062e-15
barrer·mm	7.50062e-15
barrer(STP)mm	7.50062e-15
barrer STPmm	7.50062e-15
barrer (STP) mm	7.50062e-15
barrer@STPmm	7.50062e-15
barrer @STPmm	7.50062e-15
barrer @STP mm	7.50062e-15
barrergas(STP)⋅mm	7.50062e-15
barrerµm	7.500620000000001e-18
barrer µm	7.500620000000001e-18
barrer·µm	7.500620000000001e-18
barrer(STP)µm	7.500620000000001e-18
barrer STPµm	7.500620000000001e-18
barrer (STP) µm	7.500620000000001e-18
barrer@STPµm	7.500620000000001e-18
barrer @STPµm	7.500620000000001e-18
barrer @STP µm	7.500620000000001e-18
barrergas(STP)⋅µm	7.500620000000001e-18
barrer/m	7.50062e-16
barrer /m	7.50062e-16
barrer·/m	7.50062e-16
barrer(STP)/m	7.50062e-16
barrer STP/m	7.50062e-16
barrer (STP) /m	7.50062e-16
barrer@STP/m	7.50062e-16
barrer @STP/m	7.50062e-16
barrer @STP /m	7.50062e-16
barrergas(STP)⋅/m	7.50062e-16
barrerm-1	7.50062e-16
barrer m-1	7.50062e-16
barrer·m-1	7.50062e-16
barrer(STP)m-1	7.50062e-16
barrer STPm-1	7.50062e-16
barrer (STP) m-1	7.50062e-16
barrer@STPm-1	7.50062e-16
barrer @STPm-1	7.50062e-16
barrer @STP m-1	7.50062e-16
barrergas(STP)⋅m-1	7.50062e-16
barrer/cm	7.50062e-14
barrer /cm	7.50062e-14
barrer·/cm	7.50062e-14
barrer(STP)/cm	7.50062e-14
barrer STP/cm	7.50062e-14
barrer (STP) /cm	7.50062e-14
barrer@STP/cm	7.50062e-14
barrer @STP/cm	7.50062e-14
barrer @STP /cm	7.50062e-14
barrergas(STP)⋅/cm	7.50062e-14
barrercm-1	7.50062e-14
barrer cm-1	7.50062e-14
barrer·cm-1	7.50062e-14
barrer(STP)cm-1	7.50062e-14
barrer STPcm-1	7.50062e-14
barrer (STP) cm-1	7.50062e-14
barrer@STPcm-1	7.50062e-14
barrer @STPcm-1	7.50062e-14
barrer @STP cm-1	7.50062e-14
barrergas(STP)⋅cm-1	7.50062e-14
barrermil	1.9051574800000002e-16
barrer mil	1.9051574800000002e-16
barrer·mil	1.9051574800000002e-16
barrer(STP)mil	1.9051574800000002e-16
barrer STPmil	1.9051574800000002e-16
barrer (STP) mil	1.9051574800000002e-16
barrer@STPmil	1.9051574800000002e-16
barrer @STPmil	1.9051574800000002e-16
barrer @STP mil	1.9051574800000002e-16
barrergas(STP)⋅mil	1.9051574800000002e-16
Barrer	7.50062e-14
Barrer(STP)	7.50062e-14
Barrer STP	7.50062e-14
Barrer (STP)	7.50062e-14
Barrer@STP	7.50062e-14
Barrer @STP	7.50062e-14
Barrergas(STP)⋅	7.50062e-14
Barrerm	7.500620000000001e-12
Barrer m	7.500620000000001e-12
Barrer·m	7.500620000000001e-12
Barrer(STP)m	7.500620000000001e-12
Barrer STPm	7.500620000000001e-12
Barrer (STP) m	7.500620000000001e-12
Barrer@STPm	7.500620000000001e-12
Barrer @STPm	7.500620000000001e-12
Barrer @STP m	7.500620000000001e-12
Barrergas(STP)⋅m	7.500620000000001e-12
Barrercm	7.50062e-14
Barrer cm	7.50062e-14
Barrer·cm	7.50062e-14
Barrer(STP)cm	7.50062e-14
Barrer STPcm	7.50062e-14
Barrer (STP) cm	7.50062e-14
Barrer@STPcm	7.50062e-14
Barrer @STPcm	7.50062e-14
Barrer @STP cm	7.50062e-14
Barrergas(STP)⋅cm	7.50062e-14
Barrermm	7.50062e-15
Barrer mm	7.50062e-15
Barrer·mm	7.50062e-15
Barrer(STP)mm	7.50062e-15
Barrer STPmm	7.50062e-15
Barrer (STP) mm	7.50062e-15
Barrer@STPmm	7.50062e-15
Barrer @STPmm	7.50062e-15
Barrer @STP mm	7.50062e-15
Barrergas(STP)⋅mm	7.50062e-15
Barrerµm	7.500620000000001e-18
Barrer µm	7.500620000000001e-18
Barrer·µm	7.500620000000001e-18
Barrer(STP)µm	7.500620000000001e-18
Barrer STPµm	7.500620000000001e-18
Barrer (STP) µm	7.500620000000001e-18
Barrer@STPµm	7.500620000000001e-18
Barrer @STPµm	7.500620000000001e-18
Barrer @STP µm	7.500620000000001e-18
Barrergas(STP)⋅µm	7.500620000000001e-18
Barrer/m	7.50062e-16
Barrer /m	7.50062e-16
Barrer·/m	7.50062e-16
Barrer(STP)/m	7.50062e-16
Barrer STP/m	7.50062e-16
Barrer (STP) /m	7.50062e-16
Barrer@STP/m	7.50062e-16
Barrer @STP/m	7.50062e-16
Barrer @STP /m	7.50062e-16
Barrergas(STP)⋅/m	7.50062e-16
Barrerm-1	7.50062e-16
Barrer m-1	7.50062e-16
Barrer·m-1	7.50062e-16
Barrer(STP)m-1	7.50062e-16
Barrer STPm-1	7.50062e-16
Barrer (STP) m-1	7.50062e-16
Barrer@STPm-1	7.50062e-16
Barrer @STPm-1	7.50062e-16
Barrer @STP m-1	7.50062e-16
Barrergas(STP)⋅m-1	7.50062e-16
Barrer/cm	7.50062e-14
Barrer /cm	7.50062e-14
Barrer·/cm	7.50062e-14
Barrer(STP)/cm	7.50062e-14
Barrer STP/cm	7.50062e-14
Barrer (STP) /cm	7.50062e-14
Barrer@STP/cm	7.50062e-14
Barrer @STP/cm	7.50062e-14
Barrer @STP /cm	7.50062e-14
Barrergas(STP)⋅/cm	7.50062e-14
Barrercm-1	7.50062e-14
Barrer cm-1	7.50062e-14
Barrer·cm-1	7.50062e-14
Barrer(STP)cm-1	7.50062e-14
Barrer STPcm-1	7.50062e-14
Barrer (STP) cm-1	7.50062e-14
Barrer@STPcm-1	7.50062e-14
Barrer @STPcm-1	7.50062e-14
Barrer @STP cm-1	7.50062e-14
Barrergas(STP)⋅cm-1	7.50062e-14
Barrermil	1.9051574800000002e-16
Barrer mil	1.9051574800000002e-16
Barrer·mil	1.9051574800000002e-16
Barrer(STP)mil	1.9051574800000002e-16
Barrer STPmil	1.9051574800000002e-16
Barrer (STP) mil	1.9051574800000002e-16
Barrer@STPmil	1.9051574800000002e-16
Barrer @STPmil	1.9051574800000002e-16
Barrer @STP mil	1.9051574800000002e-16
Barrergas(STP)⋅mil	1.9051574800000002e-16
g	1243.06
g(STP)	1243.06
g STP	1243.06
g (STP)	1243.06
g@STP	1243.06
g @STP	1243.06
ggas(STP)⋅	1243.06
gm	124306.0
g m	124306.0
g·m	124306.0
g(STP)m	124306.0
g STPm	124306.0
g (STP) m	124306.0
g@STPm	124306.0
g @STPm	124306.0
g @STP m	124306.0
ggas(STP)⋅m	124306.0
gcm	1243.06
g cm	1243.06
g·cm	1243.06
g(STP)cm	1243.06
g STPcm	1243.06
g (STP) cm	1243.06
g@STPcm	1243.06
g @STPcm	1243.06
g @STP cm	1243.06
ggas(STP)⋅cm	1243.06
gmm	124.306
g mm	124.306
g·mm	124.306
g(STP)mm	124.306
g STPmm	124.306
g (STP) mm	124.306
g@STPmm	124.306
g @STPmm	124.306
g @STP mm	124.306
ggas(STP)⋅mm	124.306
gµm	0.124306
g µm	0.124306
g·µm	0.124306
g(STP)µm	0.124306
g STPµm	0.124306
g (STP) µm	0.124306
g@STPµm	0.124306
g @STPµm	0.124306
g @STP µm	0.124306
ggas(STP)⋅µm	0.124306
g/m	12.4306
g /m	12.4306
g·/m	12.4306
g(STP)/m	12.4306
g STP/m	12.4306
g (STP) /m	12.4306
g@STP/m	12.4306
g @STP/m	12.4306
g @STP /m	12.4306
ggas(STP)⋅/m	12.4306
gm-1	12.4306
g m-1	12.4306
g·m-1	12.4306
g(STP)m-1	12.4306
g STPm-1	12.4306
g (STP) m-1	12.4306
